StockPrice,Strike,LastPrice,Maturity
228.47,240.0,0.86,0.057534
228.47,245.0,0.37,0.057534
228.47,250.0,0.16,0.057534
228.47,255.0,0.08,0.057534
228.47,260.0,0.05,0.057534
228.47,265.0,0.02,0.057534
228.47,270.0,0.02,0.057534
228.47,275.0,0.01,0.057534
228.47,280.0,0.01,0.057534
228.47,285.0,0.01,0.057534
228.47,290.0,0.01,0.057534
228.47,295.0,0.01,0.057534
228.47,300.0,0.01,0.057534
228.47,105.0,121.6,0.076712
228.47,150.0,72.12,0.076712
228.47,160.0,64.8,0.076712
228.47,165.0,58.67,0.076712
228.47,170.0,56.63,0.076712
228.47,180.0,46.76,0.076712
228.47,185.0,39.57,0.076712
228.47,190.0,39.05,0.076712
228.47,195.0,29.53,0.076712
228.47,200.0,29.15,0.076712
228.47,205.0,24.69,0.076712
228.47,210.0,19.91,0.076712
228.47,215.0,15.05,0.076712
228.47,220.0,11.0,0.076712
228.47,225.0,7.45,0.076712
228.47,230.0,4.55,0.076712
228.47,235.0,2.51,0.076712
228.47,240.0,1.31,0.076712
228.47,245.0,0.61,0.076712
228.47,250.0,0.26,0.076712
228.47,255.0,0.16,0.076712
228.47,260.0,0.09,0.076712
228.47,265.0,0.04,0.076712
228.47,270.0,0.03,0.076712
228.47,300.0,0.01,0.076712
228.47,5.0,221.0,0.095890
228.47,10.0,217.0,0.095890
228.47,20.0,203.6,0.095890
228.47,30.0,192.45,0.095890
228.47,50.0,174.54,0.095890
228.47,55.0,168.8,0.095890
228.47,60.0,168.35,0.095890
228.47,65.0,162.8,0.095890
228.47,70.0,151.56,0.095890
228.47,75.0,152.8,0.095890
228.47,80.0,147.7,0.095890
228.47,85.0,99.84,0.095890
228.47,90.0,145.22,0.095890
228.47,95.0,129.25,0.095890
228.47,100.0,126.35,0.095890
228.47,105.0,117.6,0.095890
228.47,110.0,117.89,0.095890
228.47,115.0,109.59,0.095890
228.47,120.0,114.0,0.095890
228.47,125.0,99.5,0.095890
228.47,130.0,94.77,0.095890
228.47,135.0,92.74,0.095890
228.47,140.0,88.1,0.095890
228.47,145.0,80.45,0.095890
228.47,150.0,78.35,0.095890
228.47,155.0,72.85,0.095890
228.47,160.0,67.95,0.095890
228.47,165.0,59.12,0.095890
228.47,170.0,59.25,0.095890
228.47,175.0,54.64,0.095890
228.47,180.0,47.87,0.095890
228.47,185.0,44.15,0.095890
228.47,190.0,39.83,0.095890
228.47,195.0,33.1,0.095890
228.47,200.0,29.45,0.095890
228.47,205.0,25.1,0.095890
228.47,210.0,20.3,0.095890
228.47,215.0,15.85,0.095890
228.47,220.0,11.7,0.095890
228.47,225.0,8.2,0.095890
228.47,230.0,5.3,0.095890
228.47,235.0,3.15,0.095890
228.47,240.0,1.77,0.095890
228.47,245.0,0.95,0.095890
228.47,250.0,0.5,0.095890
228.47,255.0,0.27,0.095890
228.47,260.0,0.15,0.095890
228.47,265.0,0.09,0.095890
228.47,270.0,0.05,0.095890
228.47,275.0,0.04,0.095890
228.47,280.0,0.03,0.095890
228.47,285.0,0.03,0.095890
228.47,290.0,0.02,0.095890
228.47,295.0,0.02,0.095890
228.47,300.0,0.02,0.095890
228.47,305.0,0.01,0.095890
228.47,310.0,0.01,0.095890
228.47,315.0,0.01,0.095890
228.47,320.0,0.01,0.095890
228.47,325.0,0.01,0.095890
228.47,330.0,0.01,0.095890
228.47,335.0,0.01,0.095890
228.47,340.0,0.01,0.095890
228.47,350.0,0.01,0.095890
228.47,155.0,73.23,0.115068
228.47,175.0,53.8,0.115068
228.47,205.0,21.25,0.115068
228.47,210.0,19.05,0.115068
228.47,220.0,12.05,0.115068
228.47,225.0,8.65,0.115068
228.47,230.0,5.8,0.115068
228.47,235.0,3.6,0.115068
228.47,240.0,2.06,0.115068
228.47,245.0,1.13,0.115068
228.47,250.0,0.63,0.115068
228.47,255.0,0.32,0.115068
228.47,260.0,0.19,0.115068
228.47,265.0,0.13,0.115068
228.47,5.0,222.55,0.172603
228.47,10.0,207.0,0.172603
228.47,15.0,205.0,0.172603
228.47,20.0,204.9,0.172603
228.47,25.0,202.2,0.172603
228.47,30.0,201.5,0.172603
228.47,35.0,161.27,0.172603
228.47,40.0,189.1,0.172603
228.47,45.0,151.29,0.172603
228.47,50.0,175.49,0.172603
228.47,55.0,172.85,0.172603
228.47,60.0,167.86,0.172603
228.47,65.0,159.1,0.172603
228.47,70.0,162.87,0.172603
228.47,75.0,152.71,0.172603
228.47,80.0,148.0,0.172603
228.47,85.0,146.54,0.172603
228.47,90.0,134.09,0.172603
228.47,95.0,130.13,0.172603
228.47,100.0,125.15,0.172603
228.47,105.0,118.2,0.172603
228.47,110.0,117.0,0.172603
228.47,115.0,112.99,0.172603
228.47,120.0,107.4,0.172603
228.47,125.0,102.15,0.172603
228.47,130.0,98.58,0.172603
228.47,135.0,91.21,0.172603
228.47,140.0,87.67,0.172603
228.47,145.0,85.3,0.172603
228.47,150.0,78.4,0.172603
228.47,155.0,73.3,0.172603
228.47,160.0,68.74,0.172603
228.47,165.0,65.45,0.172603
228.47,170.0,60.5,0.172603
228.47,175.0,55.16,0.172603
228.47,180.0,47.3,0.172603
228.47,185.0,45.6,0.172603
228.47,190.0,40.85,0.172603
228.47,195.0,36.15,0.172603
228.47,200.0,31.2,0.172603
228.47,205.0,26.65,0.172603
228.47,210.0,22.1,0.172603
228.47,215.0,17.85,0.172603
228.47,220.0,13.95,0.172603
228.47,225.0,10.57,0.172603
228.47,230.0,7.72,0.172603
228.47,235.0,5.36,0.172603
228.47,240.0,3.6,0.172603
228.47,245.0,2.31,0.172603
228.47,250.0,1.45,0.172603
228.47,255.0,0.9,0.172603
228.47,260.0,0.56,0.172603
228.47,265.0,0.36,0.172603
228.47,270.0,0.23,0.172603
228.47,275.0,0.16,0.172603
228.47,280.0,0.1,0.172603
228.47,285.0,0.08,0.172603
228.47,290.0,0.06,0.172603
228.47,295.0,0.06,0.172603
228.47,300.0,0.05,0.172603
228.47,305.0,0.04,0.172603
228.47,310.0,0.04,0.172603
228.47,315.0,0.03,0.172603
228.47,320.0,0.02,0.172603
228.47,325.0,0.02,0.172603
228.47,330.0,0.02,0.172603
228.47,335.0,0.02,0.172603
228.47,340.0,0.01,0.172603
228.47,345.0,0.02,0.172603
228.47,350.0,0.01,0.172603
228.47,355.0,0.01,0.172603
228.47,360.0,0.01,0.172603
228.47,365.0,0.01,0.172603
228.47,370.0,0.01,0.172603
228.47,375.0,0.01,0.172603
228.47,380.0,0.01,0.172603
228.47,105.0,121.2,0.268493
228.47,110.0,115.0,0.268493
228.47,115.0,109.39,0.268493
228.47,120.0,109.85,0.268493
228.47,125.0,104.6,0.268493
228.47,130.0,96.06,0.268493
228.47,135.0,92.9,0.268493
228.47,140.0,86.1,0.268493
228.47,145.0,82.15,0.268493
228.47,150.0,78.5,0.268493
228.47,155.0,74.8,0.268493
228.47,160.0,69.8,0.268493
228.47,165.0,61.3,0.268493
228.47,170.0,56.67,0.268493
228.47,175.0,51.03,0.268493
228.47,180.0,49.57,0.268493
228.47,185.0,44.9,0.268493
228.47,190.0,39.8,0.268493
228.47,195.0,37.45,0.268493
228.47,200.0,32.09,0.268493
228.47,205.0,28.45,0.268493
228.47,210.0,24.32,0.268493
228.47,215.0,20.5,0.268493
228.47,220.0,17.0,0.268493
228.47,225.0,13.86,0.268493
228.47,230.0,11.05,0.268493
228.47,235.0,8.6,0.268493
228.47,240.0,6.55,0.268493
228.47,245.0,4.75,0.268493
228.47,250.0,3.5,0.268493
228.47,255.0,2.58,0.268493
228.47,260.0,1.84,0.268493
228.47,265.0,1.32,0.268493
228.47,270.0,0.88,0.268493
228.47,275.0,0.68,0.268493
228.47,280.0,0.5,0.268493
228.47,285.0,0.37,0.268493
228.47,290.0,0.28,0.268493
228.47,295.0,0.21,0.268493
228.47,300.0,0.18,0.268493
228.47,305.0,0.14,0.268493
228.47,310.0,0.1,0.268493
228.47,315.0,0.1,0.268493
228.47,320.0,0.06,0.268493
228.47,325.0,0.05,0.268493
228.47,330.0,0.05,0.268493
228.47,335.0,0.04,0.268493
228.47,340.0,0.04,0.268493
228.47,345.0,0.04,0.268493
228.47,350.0,0.04,0.268493
228.47,355.0,0.02,0.268493
228.47,360.0,0.03,0.268493
228.47,365.0,0.01,0.268493
228.47,370.0,0.02,0.268493
228.47,375.0,0.03,0.268493
228.47,380.0,0.02,0.268493
228.47,5.0,223.44,0.345205
228.47,40.0,189.16,0.345205
228.47,45.0,186.82,0.345205
228.47,50.0,175.9,0.345205
228.47,55.0,171.84,0.345205
228.47,60.0,167.02,0.345205
228.47,65.0,172.2,0.345205
228.47,70.0,163.65,0.345205
228.47,75.0,155.39,0.345205
228.47,80.0,145.82,0.345205
228.47,85.0,140.24,0.345205
228.47,90.0,136.45,0.345205
228.47,95.0,132.7,0.345205
228.47,100.0,124.28,0.345205
228.47,105.0,119.53,0.345205
228.47,110.0,119.52,0.345205
228.47,115.0,110.99,0.345205
228.47,120.0,107.94,0.345205
228.47,125.0,111.47,0.345205
228.47,130.0,99.21,0.345205
228.47,135.0,94.54,0.345205
228.47,140.0,86.07,0.345205
228.47,145.0,81.05,0.345205
228.47,150.0,76.9,0.345205
228.47,155.0,74.91,0.345205
228.47,160.0,69.52,0.345205
228.47,165.0,63.75,0.345205
228.47,170.0,58.14,0.345205
228.47,175.0,54.05,0.345205
228.47,180.0,50.5,0.345205
228.47,185.0,45.85,0.345205
228.47,190.0,42.25,0.345205
228.47,195.0,37.75,0.345205
228.47,200.0,34.25,0.345205
228.47,205.0,27.84,0.345205
228.47,210.0,26.1,0.345205
228.47,215.0,21.6,0.345205
228.47,220.0,18.91,0.345205
228.47,225.0,15.85,0.345205
228.47,230.0,13.0,0.345205
228.47,235.0,10.49,0.345205
228.47,240.0,8.3,0.345205
228.47,245.0,6.55,0.345205
228.47,250.0,5.06,0.345205
228.47,260.0,2.94,0.345205
228.47,270.0,1.63,0.345205
228.47,280.0,0.92,0.345205
228.47,290.0,0.54,0.345205
228.47,300.0,0.34,0.345205
228.47,310.0,0.22,0.345205
228.47,320.0,0.15,0.345205
228.47,330.0,0.1,0.345205
228.47,340.0,0.08,0.345205
228.47,350.0,0.07,0.345205
228.47,360.0,0.05,0.345205
228.47,370.0,0.05,0.345205
228.47,380.0,0.04,0.345205
228.47,110.0,119.2,0.419178
228.47,115.0,109.98,0.419178
228.47,120.0,106.8,0.419178
228.47,125.0,105.03,0.419178
228.47,130.0,108.9,0.419178
228.47,135.0,91.05,0.419178
228.47,140.0,86.99,0.419178
228.47,145.0,85.3,0.419178
228.47,150.0,80.54,0.419178
228.47,155.0,75.45,0.419178
228.47,160.0,67.27,0.419178
228.47,165.0,62.4,0.419178
228.47,170.0,58.5,0.419178
228.47,175.0,53.65,0.419178
228.47,180.0,51.7,0.419178
228.47,185.0,45.0,0.419178
228.47,190.0,43.6,0.419178
228.47,195.0,37.92,0.419178
228.47,200.0,34.23,0.419178
228.47,205.0,31.34,0.419178
228.47,210.0,27.2,0.419178
228.47,215.0,21.72,0.419178
228.47,220.0,20.6,0.419178
228.47,225.0,17.55,0.419178
228.47,230.0,14.5,0.419178
228.47,235.0,11.95,0.419178
228.47,240.0,9.75,0.419178
228.47,245.0,7.95,0.419178
228.47,250.0,6.3,0.419178
228.47,255.0,5.03,0.419178
228.47,260.0,3.9,0.419178
228.47,265.0,2.77,0.419178
228.47,270.0,2.4,0.419178
228.47,275.0,1.81,0.419178
228.47,280.0,1.25,0.419178
228.47,285.0,1.13,0.419178
228.47,290.0,0.81,0.419178
228.47,295.0,0.55,0.419178
228.47,300.0,0.55,0.419178
228.47,305.0,0.42,0.419178
228.47,310.0,0.28,0.419178
228.47,315.0,0.29,0.419178
228.47,320.0,0.23,0.419178
228.47,325.0,0.18,0.419178
228.47,330.0,0.18,0.419178
228.47,335.0,0.15,0.419178
228.47,340.0,0.12,0.419178
228.47,5.0,219.77,0.594521
228.47,40.0,181.92,0.594521
228.47,45.0,177.77,0.594521
228.47,50.0,178.41,0.594521
228.47,55.0,173.35,0.594521
228.47,60.0,165.0,0.594521
228.47,65.0,160.07,0.594521
228.47,70.0,158.95,0.594521
228.47,75.0,153.55,0.594521
228.47,80.0,149.3,0.594521
228.47,85.0,144.53,0.594521
228.47,90.0,134.17,0.594521
228.47,95.0,131.43,0.594521
228.47,100.0,128.35,0.594521
228.47,105.0,132.0,0.594521
228.47,110.0,115.4,0.594521
228.47,115.0,115.87,0.594521
228.47,120.0,109.25,0.594521
228.47,125.0,105.87,0.594521
228.47,130.0,102.2,0.594521
228.47,135.0,93.48,0.594521
228.47,140.0,88.35,0.594521
228.47,145.0,83.85,0.594521
228.47,150.0,78.9,0.594521
228.47,155.0,76.12,0.594521
228.47,160.0,72.97,0.594521
228.47,165.0,66.77,0.594521
228.47,170.0,64.5,0.594521
228.47,175.0,58.6,0.594521
228.47,180.0,53.85,0.594521
228.47,185.0,48.95,0.594521
228.47,190.0,43.9,0.594521
228.47,195.0,39.52,0.594521
228.47,200.0,38.67,0.594521
228.47,205.0,34.85,0.594521
228.47,210.0,31.17,0.594521
228.47,215.0,26.81,0.594521
228.47,220.0,24.35,0.594521
228.47,225.0,21.2,0.594521
228.47,230.0,18.4,0.594521
228.47,235.0,15.9,0.594521
228.47,240.0,13.33,0.594521
228.47,245.0,11.4,0.594521
228.47,250.0,9.65,0.594521
228.47,260.0,6.74,0.594521
228.47,270.0,4.59,0.594521
228.47,280.0,3.05,0.594521
228.47,290.0,2.04,0.594521
228.47,300.0,1.41,0.594521
228.47,310.0,0.9,0.594521
228.47,320.0,0.67,0.594521
228.47,330.0,0.44,0.594521
228.47,340.0,0.32,0.594521
228.47,350.0,0.27,0.594521
228.47,105.0,116.55,0.747945
228.47,110.0,129.15,0.747945
228.47,115.0,116.59,0.747945
228.47,120.0,111.75,0.747945
228.47,125.0,113.43,0.747945
228.47,130.0,96.85,0.747945
228.47,140.0,93.2,0.747945
228.47,145.0,83.95,0.747945
228.47,150.0,81.5,0.747945
228.47,155.0,73.18,0.747945
228.47,160.0,77.74,0.747945
228.47,165.0,66.1,0.747945
228.47,170.0,61.58,0.747945
228.47,175.0,60.45,0.747945
228.47,180.0,52.7,0.747945
228.47,185.0,50.45,0.747945
228.47,190.0,45.9,0.747945
228.47,195.0,41.05,0.747945
228.47,200.0,38.65,0.747945
228.47,205.0,34.45,0.747945
228.47,210.0,31.35,0.747945
228.47,215.0,27.92,0.747945
228.47,220.0,25.73,0.747945
228.47,225.0,24.0,0.747945
228.47,230.0,21.3,0.747945
228.47,235.0,18.72,0.747945
228.47,240.0,15.6,0.747945
228.47,245.0,13.35,0.747945
228.47,250.0,11.95,0.747945
228.47,255.0,10.47,0.747945
228.47,260.0,8.26,0.747945
228.47,265.0,7.09,0.747945
228.47,270.0,6.19,0.747945
228.47,275.0,4.95,0.747945
228.47,280.0,4.45,0.747945
228.47,285.0,3.7,0.747945
228.47,290.0,3.05,0.747945
228.47,295.0,2.55,0.747945
228.47,300.0,2.09,0.747945
228.47,305.0,1.93,0.747945
228.47,310.0,1.35,0.747945
228.47,315.0,1.99,0.747945
228.47,320.0,1.11,0.747945
228.47,325.0,0.79,0.747945
228.47,330.0,0.82,0.747945
228.47,340.0,0.55,0.747945
228.47,350.0,0.51,0.747945
228.47,5.0,224.76,0.843836
228.47,50.0,183.05,0.843836
228.47,55.0,168.03,0.843836
228.47,60.0,167.9,0.843836
228.47,65.0,165.68,0.843836
228.47,70.0,158.98,0.843836
228.47,75.0,154.1,0.843836
228.47,80.0,147.42,0.843836
228.47,85.0,144.88,0.843836
228.47,90.0,140.35,0.843836
228.47,95.0,136.01,0.843836
228.47,100.0,129.63,0.843836
228.47,105.0,112.98,0.843836
228.47,110.0,121.25,0.843836
228.47,115.0,116.99,0.843836
228.47,120.0,109.5,0.843836
228.47,125.0,106.96,0.843836
228.47,130.0,98.09,0.843836
228.47,135.0,101.14,0.843836
228.47,140.0,90.63,0.843836
228.47,145.0,88.28,0.843836
228.47,150.0,79.79,0.843836
228.47,155.0,79.6,0.843836
228.47,160.0,73.35,0.843836
228.47,165.0,67.35,0.843836
228.47,170.0,65.45,0.843836
228.47,175.0,62.07,0.843836
228.47,180.0,57.1,0.843836
228.47,185.0,51.58,0.843836
228.47,190.0,48.34,0.843836
228.47,195.0,43.45,0.843836
228.47,200.0,40.39,0.843836
228.47,205.0,38.05,0.843836
228.47,210.0,33.61,0.843836
228.47,215.0,30.5,0.843836
228.47,220.0,28.4,0.843836
228.47,225.0,25.4,0.843836
228.47,230.0,22.35,0.843836
228.47,235.0,20.2,0.843836
228.47,240.0,17.79,0.843836
228.47,245.0,15.6,0.843836
228.47,250.0,13.8,0.843836
228.47,255.0,11.25,0.843836
228.47,260.0,10.18,0.843836
228.47,265.0,8.8,0.843836
228.47,270.0,6.95,0.843836
228.47,275.0,6.51,0.843836
228.47,280.0,5.5,0.843836
228.47,285.0,4.65,0.843836
228.47,290.0,3.55,0.843836
228.47,295.0,3.3,0.843836
228.47,300.0,2.8,0.843836
228.47,305.0,2.33,0.843836
228.47,310.0,1.69,0.843836
228.47,320.0,1.3,0.843836
228.47,330.0,1.02,0.843836
228.47,340.0,0.72,0.843836
228.47,350.0,0.61,0.843836
228.47,5.0,219.29,1.093151
228.47,35.0,186.93,1.093151
228.47,40.0,182.79,1.093151
228.47,50.0,176.4,1.093151
228.47,55.0,170.55,1.093151
228.47,60.0,160.99,1.093151
228.47,65.0,163.0,1.093151
228.47,70.0,168.88,1.093151
228.47,75.0,152.8,1.093151
228.47,80.0,149.83,1.093151
228.47,85.0,144.75,1.093151
228.47,90.0,140.9,1.093151
228.47,95.0,136.8,1.093151
228.47,100.0,127.95,1.093151
228.47,105.0,127.32,1.093151
228.47,110.0,116.76,1.093151
228.47,115.0,113.9,1.093151
228.47,120.0,111.2,1.093151
228.47,125.0,108.38,1.093151
228.47,130.0,100.38,1.093151
228.47,135.0,99.52,1.093151
228.47,140.0,92.9,1.093151
228.47,145.0,87.4,1.093151
228.47,150.0,85.1,1.093151
228.47,155.0,76.99,1.093151
228.47,160.0,74.21,1.093151
228.47,165.0,68.9,1.093151
228.47,170.0,65.65,1.093151
228.47,175.0,62.05,1.093151
228.47,180.0,58.5,1.093151
228.47,185.0,57.36,1.093151
228.47,190.0,52.09,1.093151
228.47,195.0,49.35,1.093151
228.47,200.0,45.3,1.093151
228.47,205.0,38.65,1.093151
228.47,210.0,37.8,1.093151
228.47,215.0,35.8,1.093151
228.47,220.0,31.6,1.093151
228.47,225.0,29.6,1.093151
228.47,230.0,26.96,1.093151
228.47,235.0,22.6,1.093151
228.47,240.0,21.68,1.093151
228.47,245.0,18.15,1.093151
228.47,250.0,16.8,1.093151
228.47,260.0,14.05,1.093151
228.47,270.0,11.0,1.093151
228.47,280.0,7.67,1.093151
228.47,290.0,5.8,1.093151
228.47,300.0,5.03,1.093151
228.47,310.0,3.7,1.093151
228.47,320.0,2.82,1.093151
228.47,330.0,2.1,1.093151
228.47,340.0,1.5,1.093151
228.47,350.0,1.33,1.093151
228.47,5.0,220.22,1.169863
228.47,20.0,197.49,1.169863
228.47,25.0,191.8,1.169863
228.47,30.0,197.05,1.169863
228.47,35.0,181.5,1.169863
228.47,40.0,177.59,1.169863
228.47,45.0,175.77,1.169863
228.47,50.0,179.45,1.169863
228.47,55.0,173.04,1.169863
228.47,60.0,169.08,1.169863
228.47,65.0,155.3,1.169863
228.47,70.0,161.2,1.169863
228.47,75.0,154.32,1.169863
228.47,80.0,147.25,1.169863
228.47,85.0,145.73,1.169863
228.47,90.0,147.9,1.169863
228.47,95.0,132.8,1.169863
228.47,100.0,132.0,1.169863
228.47,105.0,125.1,1.169863
228.47,110.0,121.9,1.169863
228.47,115.0,113.97,1.169863
228.47,120.0,110.3,1.169863
228.47,125.0,102.89,1.169863
228.47,130.0,105.88,1.169863
228.47,135.0,100.0,1.169863
228.47,140.0,92.5,1.169863
228.47,145.0,86.85,1.169863
228.47,150.0,86.15,1.169863
228.47,155.0,78.12,1.169863
228.47,160.0,75.63,1.169863
228.47,165.0,70.9,1.169863
228.47,170.0,67.6,1.169863
228.47,175.0,61.72,1.169863
228.47,180.0,62.0,1.169863
228.47,185.0,54.7,1.169863
228.47,190.0,52.65,1.169863
228.47,195.0,47.9,1.169863
228.47,200.0,47.13,1.169863
228.47,205.0,42.2,1.169863
228.47,210.0,38.0,1.169863
228.47,215.0,35.75,1.169863
228.47,220.0,33.9,1.169863
228.47,225.0,31.0,1.169863
228.47,230.0,28.12,1.169863
228.47,235.0,25.0,1.169863
228.47,240.0,23.04,1.169863
228.47,245.0,20.87,1.169863
228.47,250.0,18.65,1.169863
228.47,255.0,15.6,1.169863
228.47,260.0,14.95,1.169863
228.47,265.0,12.55,1.169863
228.47,270.0,11.21,1.169863
228.47,275.0,9.6,1.169863
228.47,280.0,9.43,1.169863
228.47,285.0,8.32,1.169863
228.47,290.0,7.3,1.169863
228.47,300.0,5.74,1.169863
228.47,310.0,4.14,1.169863
228.47,320.0,3.3,1.169863
228.47,330.0,2.55,1.169863
228.47,340.0,1.92,1.169863
228.47,350.0,1.6,1.169863
228.47,5.0,227.63,1.589041
228.47,15.0,203.99,1.589041
228.47,30.0,191.2,1.589041
228.47,35.0,194.58,1.589041
228.47,40.0,194.9,1.589041
228.47,45.0,178.4,1.589041
228.47,50.0,176.01,1.589041
228.47,55.0,183.1,1.589041
228.47,60.0,166.7,1.589041
228.47,65.0,164.8,1.589041
228.47,70.0,161.3,1.589041
228.47,75.0,155.31,1.589041
228.47,80.0,157.0,1.589041
